host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_identity_verified,property_type,room_type,capacity,price,minimum_nights,maximum_nights,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month
within a day,100.00%,N/A,f,f,Entire loft,Entire home/apt,3,1434,1,1125,4.95,4.71,4.95,5,4.95,5,4.86,f,0.19
N/A,N/A,N/A,f,t,Entire guest suite,Entire home/apt,2,830,3,1125,4.85,4.9,4.88,4.93,5,4.95,4.84,f,0.54
within an hour,100.00%,90.00%,t,t,Entire rental unit,Entire home/apt,6,1469,24,1125,4.57,4.82,4.71,4.92,4.92,4.58,4.71,f,0.31
N/A,N/A,N/A,f,t,Entire villa,Entire home/apt,2,3658,1,7,,,,,,,,f,
within an hour,100.00%,86.00%,f,t,Entire home,Entire home/apt,14,18000,1,365,4.58,4.56,4.7,4.87,4.78,4.98,4.48,f,0.46
within a few hours,100.00%,70.00%,f,t,Entire loft,Entire home/apt,2,2561,2,30,4.87,4.9,4.71,4.91,4.85,5,4.83,f,0.7
within an hour,100.00%,95.00%,t,t,Entire condo,Entire home/apt,2,650,3,250,4.87,4.95,4.88,4.98,4.94,4.75,4.79,f,0.58
within an hour,100.00%,100.00%,t,t,Private room in home,Private room,2,1089,2,1125,4.92,4.89,4.9,4.92,4.95,4.94,4.87,f,0.94
within an hour,100.00%,100.00%,t,t,Entire condo,Entire home/apt,2,943,2,60,4.72,4.75,4.75,4.63,4.75,4.88,4.81,f,0.15
within a few hours,92.00%,58.00%,t,t,Entire home,Entire home/apt,16,2561,1,90,4.73,4.74,4.69,4.88,4.88,4.34,4.75,f,0.95
within an hour,100.00%,98.00%,t,t,Entire rental unit,Entire home/apt,3,1881,3,1125,4.93,4.94,4.96,5,4.99,4.95,4.91,f,2.63
within a day,75.00%,73.00%,f,t,Entire rental unit,Entire home/apt,4,2088,4,30,4.89,4.8,4.73,4.93,4.91,4.98,4.91,f,0.34
within an hour,100.00%,100.00%,f,t,Entire loft,Entire home/apt,2,402,1,1125,4.53,4.74,4.69,4.83,4.79,4.62,4.61,t,5.61
within a day,100.00%,100.00%,t,t,Entire rental unit,Entire home/apt,2,1097,7,180,4.9,4.9,4.95,4.95,4.98,4.96,4.92,f,0.84
within an hour,90.00%,87.00%,t,t,Room in serviced apartment,Hotel room,2,1006,2,730,4.83,4.87,4.83,5,5,4.83,4.78,t,0.18
within an hour,90.00%,87.00%,t,t,Entire serviced apartment,Entire home/apt,2,998,2,730,4.29,4.14,4.29,4.43,4.43,4.43,4.29,f,0.06
N/A,N/A,0.00%,f,t,Private room in rental unit,Private room,2,726,1,14,4.75,4.6,4.2,5,4.6,4.8,4.6,f,0.04
